coord,model,horizon,rmse,n,skill
h0,persistence,1,0.0009934322291276572,60,1.0132650645200414e-06
h0,persistence,3,0.0038268911258419144,60,6.828223952926038e-08
h0,persistence,5,0.006799996945945381,60,2.1626316626388586e-08
h0,persistence,10,0.0112093027608138,60,7.958712133770973e-09
h0,persistence,15,0.016544936180221143,60,3.653169322603844e-09
h0,persistence,20,0.021665238546519586,60,2.130458365279253e-09
h0,persistence,30,0.035802458668155464,60,7.801431722853636e-10
h0,persistence,40,0.043136365935090015,53,5.374188871698493e-10
h0,persistence,50,0.05476072424498429,45,3.334736931037696e-10
h0,persistence,75,0.06450007635904938,31,2.403697241248892e-10
h0,persistence,100,0.07382478744289409,14,1.8348300656612082e-10
h0,const_velocity,1,0.0008095266910998857,60,0.3359734957483259
h0,const_velocity,3,0.0032615177358015705,60,0.27364781764100554
h0,const_velocity,5,0.005917231645412401,60,0.24278414707362395
h0,const_velocity,10,0.008987980716969664,60,0.35706501030270066
h0,const_velocity,15,0.01226355334143015,60,0.4505825426271758
h0,const_velocity,20,0.014974172875551271,60,0.5222961581297821
h0,const_velocity,30,0.024270978552890107,60,0.5404329654174964
h0,const_velocity,40,0.03292903048885875,53,0.41726543556032825
h0,const_velocity,50,0.04146562031459814,45,0.4266260384070215
h0,const_velocity,75,0.051632585714380105,31,0.3591929343776705
h0,const_velocity,100,0.0673647380152101,14,0.16735315700376485
h0,linear_recent,1,0.004565674786904982,60,-20.121901652561032
h0,linear_recent,3,0.005901457787196655,60,-1.3780794865021093
h0,linear_recent,5,0.008117181231907567,60,-0.42492839341036115
h0,linear_recent,10,0.011082964500159996,60,0.02241465642675844
h0,linear_recent,15,0.014623545418743751,60,0.21877674525695767
h0,linear_recent,20,0.017762249840090397,60,0.32784567485657357
h0,linear_recent,30,0.0277821110912266,60,0.39784987239062464
h0,linear_recent,40,0.03525252062441401,53,0.33212799298245044
h0,linear_recent,50,0.04066761896934239,45,0.44848271912596316
h0,linear_recent,75,0.05259696420019957,31,0.33503176677841673
h0,linear_recent,100,0.06794474766217955,14,0.15295327114210366
h0,quadratic_recent,1,0.003602566363765685,60,-12.150644837784709
h0,quadratic_recent,3,0.0049005981379545305,60,-0.6398568489946392
h0,quadratic_recent,5,0.007395482099081779,60,-0.18281149271757768
