sensor,sensor_label,min_train_only,max_train_only,event_threshold_tau,mu,alpha,beta,train_event_count,test_event_count,train_loglik_per_event,test_loglik_per_event,optimizer_success,optimizer_message
s1,T24 - Total temperature at LPC outlet (°R),0.0,0.0,0.0,0.999999947594729,0.0,1.3296448102879441,16447,4084,-1.0000000000000004,-1.0000000000000016,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
s10,phi - Ratio of fuel flow to Ps30 (pps/psi),0.0,0.0,0.0,0.999999947594729,0.0,1.3296448102879441,16447,4084,-1.0000000000000004,-1.0000000000000016,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
s11,NRf - Corrected fan speed (rpm),-0.5899999999999963,0.5500000000000043,0.7280701754385946,0.052532371611476315,0.0,1.0538043344052377,864,213,-3.9463255999372175,-3.9535660994477655,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
s12,NRc - Corrected core speed (rpm),-1.5899999999999181,1.7899999999999636,0.6715976331360791,0.051316359276029,0.0,50.0,844,230,-3.969745874145329,-3.8809457324296495,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
s13,BPR - Bypass Ratio (-),-0.19000000000005457,0.2699999999999818,0.5652173913047777,0.05642363263052367,0.0,1.053611341743453,928,231,-3.874866635955221,-3.872417474225734,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
s14,farB - Burner fuel-air ratio (-),-18.779999999999745,17.550000000000182,0.7228186072116533,0.05022191994921973,0.0,43.93156639322028,826,189,-3.9913035952202978,-4.076522325228291,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
s15,htBleed - Bleed enthalpy (-),-0.12489999999999846,0.10080000000000133,0.7660611431103175,0.05016111665162245,0.0,44.556897031447804,825,185,-3.992514982406597,-4.099855663841509,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
s16,Nf_dmd - Demanded fan speed (rpm),0.0,0.0,0.0,0.999999947594729,0.0,1.3296448102879441,16447,4084,-1.0000000000000004,-1.0000000000000016,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
s17,PCNfR_dmd - Demanded corrected fan speed (rpm),-5.0,6.0,0.6363636363636364,0.131391699031611,0.0,1.020894412446884,2161,499,-3.02957201223444,-3.1049304621205898,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
s18,W31 - HPT coolant bleed flow (lbm/s),0.0,0.0,0.0,0.999999947594729,0.0,1.3296448102879441,16447,4084,-1.0000000000000004,-1.0000000000000016,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
s19,W32 - LPT coolant bleed flow (lbm/s),0.0,0.0,0.0,0.999999947594729,0.0,1.3296448102879441,16447,4084,-1.0000000000000004,-1.0000000000000016,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
s2,T30 - Total temperature at HPC outlet (°R),-1.75,1.5699999999999363,0.740963855421712,0.05052592603854412,0.0,47.11984325217232,831,189,-3.9852685738858273,-4.077056422676686,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
s20,s20 (unused),-0.529999999999994,0.5899999999999963,0.6785714285714263,0.053748397163464384,0.0,1.0594279252916623,884,236,-3.923441306103634,-3.8535620004962747,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
s21,s21 (unused),-0.34569999999999723,0.3406999999999982,0.706002331002331,0.050100317520528376,0.0,42.15978547195352,824,204,-3.9937278388318025,-3.9967166427539405,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
s3,T50 - Total temperature at LPT outlet (°R),-23.47999999999979,23.11999999999989,0.7048712446351924,0.05003953767247034,0.0,50.0,823,205,-3.9949421680642563,-3.991827061143271,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
s4,P15 - Total pressure in bypass duct (psia),-22.350000000000136,25.00999999999999,0.6739231418918928,0.050039509611312025,0.0,42.68530683574767,823,172,-3.9949421680642243,-4.183089819252459,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
s5,P30 - Total pressure at HPC outlet (psia),0.0,0.0,0.0,0.999999947594729,0.0,1.3296448102879441,16447,4084,-1.0000000000000004,-1.0000000000000016,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
s6,Nf  - Physical fan speed (rpm),-0.00999999999999801,0.00999999999999801,0.5,0.982549984088988,0.0,1.3278050108513715,16160,4008,-1.0176040366661832,-1.018785233553984,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
s7,Nc  - Physical core speed (rpm),-2.230000000000018,2.7000000000000455,0.6430020283975724,0.050525922900118786,0.0,45.505158915448916,831,213,-3.985268573885839,-3.9540380882628057,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
s8,epr - Engine pressure ratio (-),-0.17000000000007276,0.30999999999994543,0.5000000000004737,0.05599804542874933,0.0,1.0488485389659399,921,226,-3.8824383324859744,-3.894367773024835,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
s9,Ps30 - Static pressure at HPC outlet (psia),-22.11999999999898,24.0,0.6962272333044118,0.050100341059653115,0.0,50.0,824,183,-3.993727838831867,-4.11181376326895,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
