hypothesis,description,sensor,r2,mae,y_test_std,n_features,model_kind,baseline_r2,sensor_target_std,delta_r2_vs_settings,is_success
H0_settings_linear,Sensor output is primarily controlled by operating settings.,s1,1.0,0.0,0.0,3,linear,1.0,0.0,0.0,False
H1_degradation_poly,Sensor output follows monotonic/polynomial degradation trajectory.,s1,1.0,0.0,0.0,3,ridge,1.0,0.0,0.0,False
H2_settings_plus_degr,Sensors depend on settings and degradation state additively.,s1,1.0,0.0,0.0,5,ridge,1.0,0.0,0.0,False
H3_interaction_settings_degr,Operating-condition effects are degradation-dependent (interaction terms).,s1,1.0,0.0,0.0,11,ridge,1.0,0.0,0.0,False
H4_reciprocal_remaining,Near-failure nonlinearity rises as inverse remaining life.,s1,1.0,0.0,0.0,8,ridge,1.0,0.0,0.0,False
H5_nonlinear_basis,"Mixed physics-inspired basis (sqrt, reciprocal, exponential degradation terms).",s1,1.0,0.0,0.0,12,ridge,1.0,0.0,0.0,False
H6_arrhenius_loglinear,Arrhenius-like exponential dependence linearized in log(sensor).,s1,0.0,1.4779288903810084e-12,0.0,5,log_linear_nonneg,1.0,0.0,-1.0,False
H6_arrhenius_loglinear,Arrhenius-like exponential dependence linearized in log(sensor).,s10,1.0,0.0,2.220446049250313e-16,5,log_linear_nonneg,0.0,2.220446049250313e-16,1.0,False
H0_settings_linear,Sensor output is primarily controlled by operating settings.,s10,0.0,2.220446049250313e-16,2.220446049250313e-16,3,linear,0.0,2.220446049250313e-16,0.0,False
H1_degradation_poly,Sensor output follows monotonic/polynomial degradation trajectory.,s10,0.0,2.220446049250313e-16,2.220446049250313e-16,3,ridge,0.0,2.220446049250313e-16,0.0,False
H2_settings_plus_degr,Sensors depend on settings and degradation state additively.,s10,0.0,2.220446049250313e-16,2.220446049250313e-16,5,ridge,0.0,2.220446049250313e-16,0.0,False
H3_interaction_settings_degr,Operating-condition effects are degradation-dependent (interaction terms).,s10,0.0,2.220446049250313e-16,2.220446049250313e-16,11,ridge,0.0,2.220446049250313e-16,0.0,False
H4_reciprocal_remaining,Near-failure nonlinearity rises as inverse remaining life.,s10,0.0,2.220446049250313e-16,2.220446049250313e-16,8,ridge,0.0,2.220446049250313e-16,0.0,False
H5_nonlinear_basis,"Mixed physics-inspired basis (sqrt, reciprocal, exponential degradation terms).",s10,0.0,2.220446049250313e-16,2.220446049250313e-16,12,ridge,0.0,2.220446049250313e-16,0.0,False
H5_nonlinear_basis,"Mixed physics-inspired basis (sqrt, reciprocal, exponential degradation terms).",s11,0.6221568232861063,0.13766664182370664,0.27244229555210625,12,ridge,-0.0006924058747008743,0.27244229555210625,0.6228492291608072,True
H1_degradation_poly,Sensor output follows monotonic/polynomial degradation trajectory.,s11,0.6220890593021373,0.13763608870562663,0.27244229555210625,3,ridge,-0.0006924058747008743,0.27244229555210625,0.6227814651768382,True
H3_interaction_settings_degr,Operating-condition effects are degradation-dependent (interaction terms).,s11,0.6100546664181489,0.14015032480311326,0.27244229555210625,11,ridge,-0.0006924058747008743,0.27244229555210625,0.6107470722928497,True
H2_settings_plus_degr,Sensors depend on settings and degradation state additively.,s11,0.6100361204708384,0.14015105988876095,0.27244229555210625,5,ridge,-0.0006924058747008743,0.27244229555210625,0.6107285263455393,True
H6_arrhenius_loglinear,Arrhenius-like exponential dependence linearized in log(sensor).,s11,0.6013604975521817,0.14205113037844505,0.27244229555210625,5,log_linear_nonneg,-0.0006924058747008743,0.27244229555210625,0.6020529034268826,True
H4_reciprocal_remaining,Near-failure nonlinearity rises as inverse remaining life.,s11,0.5221793011335145,0.1559021729428256,0.27244229555210625,8,ridge,-0.0006924058747008743,0.27244229555210625,0.5228717070082154,True
H0_settings_linear,Sensor output is primarily controlled by operating settings.,s11,-0.0006924058747008743,0.2188744744869424,0.27244229555210625,3,linear,-0.0006924058747008743,0.27244229555210625,0.0,False
H1_degradation_poly,Sensor output follows monotonic/polynomial degradation trajectory.,s12,0.586037240307139,0.39835808618885576,0.7477127943171277,3,ridge,-0.0002959953611139099,0.7477127943171277,0.5863332356682529,True
H5_nonlinear_basis,"Mixed physics-inspired basis (sqrt, reciprocal, exponential degradation terms).",s12,0.5859580886760469,0.3986024402188023,0.7477127943171277,12,ridge,-0.0002959953611139099,0.7477127943171277,0.5862540840371608,True
H2_settings_plus_degr,Sensors depend on settings and degradation state additively.,s12,0.5779356410846086,0.40191269656880557,0.7477127943171277,5,ridge,-0.0002959953611139099,0.7477127943171277,0.5782316364457225,True
H3_interaction_settings_degr,Operating-condition effects are degradation-dependent (interaction terms).,s12,0.5778280039467456,0.4019153478168781,0.7477127943171277,11,ridge,-0.0002959953611139099,0.7477127943171277,0.5781239993078595,True
H6_arrhenius_loglinear,Arrhenius-like exponential dependence linearized in log(sensor).,s12,0.564289526044959,0.40953052213595137,0.7477127943171277,5,log_linear_nonneg,-0.0002959953611139099,0.7477127943171277,0.5645855214060729,True
H4_reciprocal_remaining,Near-failure nonlinearity rises as inverse remaining life.,s12,0.4960131989000772,0.4381134597695849,0.7477127943171277,8,ridge,-0.0002959953611139099,0.7477127943171277,0.49630919426119113,True
H0_settings_linear,Sensor output is primarily controlled by operating settings.,s12,-0.0002959953611139099,0.6033221178562175,0.7477127943171277,3,linear,-0.0002959953611139099,0.7477127943171277,0.0,False
H1_degradation_poly,Sensor output follows monotonic/polynomial degradation trajectory.,s13,0.3898437102378377,0.047975169242193166,0.07275639300131045,3,ridge,0.00031670115421444933,0.07275639300131045,0.38952700908362325,True
H5_nonlinear_basis,"Mixed physics-inspired basis (sqrt, reciprocal, exponential degradation terms).",s13,0.3893239231221858,0.04805059937760768,0.07275639300131045,12,ridge,0.00031670115421444933,0.07275639300131045,0.38900722196797133,True
H2_settings_plus_degr,Sensors depend on settings and degradation state additively.,s13,0.38426846528430614,0.04811788992456316,0.07275639300131045,5,ridge,0.00031670115421444933,0.07275639300131045,0.3839517641300917,True
H3_interaction_settings_degr,Operating-condition effects are degradation-dependent (interaction terms).,s13,0.3840361727961943,0.04812774867387476,0.07275639300131045,11,ridge,0.00031670115421444933,0.07275639300131045,0.38371947164197984,True
H6_arrhenius_loglinear,Arrhenius-like exponential dependence linearized in log(sensor).,s13,0.37709111090180814,0.04839057946361997,0.07275639300131045,5,log_linear_nonneg,0.00031670115421444933,0.07275639300131045,0.3767744097475937,True
H4_reciprocal_remaining,Near-failure nonlinearity rises as inverse remaining life.,s13,0.3320345054467151,0.0496073913665745,0.07275639300131045,8,ridge,0.00031670115421444933,0.07275639300131045,0.33171780429250064,True
H0_settings_linear,Sensor output is primarily controlled by operating settings.,s13,0.00031670115421444933,0.058655980653514905,0.07275639300131045,3,linear,0.00031670115421444933,0.07275639300131045,0.0,False
H5_nonlinear_basis,"Mixed physics-inspired basis (sqrt, reciprocal, exponential degradation terms).",s14,0.18171922836224497,11.164614434187119,16.82348269018121,12,ridge,-0.0020764596383200384,16.82348269018121,0.183795688000565,False
H1_degradation_poly,Sensor output follows monotonic/polynomial degradation trajectory.,s14,0.1815214399223759,11.17663372913016,16.82348269018121,3,ridge,-0.0020764596383200384,16.82348269018121,0.18359789956069594,False
H2_settings_plus_degr,Sensors depend on settings and degradation state additively.,s14,0.176184765349643,11.225983703169648,16.82348269018121,5,ridge,-0.0020764596383200384,16.82348269018121,0.17826122498796304,False
H3_interaction_settings_degr,Operating-condition effects are degradation-dependent (interaction terms).,s14,0.17559534488761175,11.228483767485017,16.82348269018121,11,ridge,-0.0020764596383200384,16.82348269018121,0.1776718045259318,False
H6_arrhenius_loglinear,Arrhenius-like exponential dependence linearized in log(sensor).,s14,0.17505679746453395,11.182654696163318,16.82348269018121,5,log_linear_nonneg,-0.0020764596383200384,16.82348269018121,0.177133257102854,False
H4_reciprocal_remaining,Near-failure nonlinearity rises as inverse remaining life.,s14,0.13936998386340893,11.399581412572259,16.82348269018121,8,ridge,-0.0020764596383200384,16.82348269018121,0.14144644350172897,False
H0_settings_linear,Sensor output is primarily controlled by operating settings.,s14,-0.0020764596383200384,11.94044146401476,16.82348269018121,3,linear,-0.0020764596383200384,16.82348269018121,0.0,False
H5_nonlinear_basis,"Mixed physics-inspired basis (sqrt, reciprocal, exponential degradation terms).",s15,0.5414065311870919,0.020405376495967274,0.03748858631439066,12,ridge,0.00013368467166796627,0.03748858631439066,0.541272846515424,True
H1_degradation_poly,Sensor output follows monotonic/polynomial degradation trajectory.,s15,0.5413954137918566,0.020403762305789965,0.03748858631439066,3,ridge,0.00013368467166796627,0.03748858631439066,0.5412617291201887,True
H3_interaction_settings_degr,Operating-condition effects are degradation-dependent (interaction terms).,s15,0.5329304070798199,0.020582594917178343,0.03748858631439066,11,ridge,0.00013368467166796627,0.03748858631439066,0.5327967224081519,True
H2_settings_plus_degr,Sensors depend on settings and degradation state additively.,s15,0.5328797362116314,0.02058311492446341,0.03748858631439066,5,ridge,0.00013368467166796627,0.03748858631439066,0.5327460515399635,True
H6_arrhenius_loglinear,Arrhenius-like exponential dependence linearized in log(sensor).,s15,0.5226691827957726,0.020849647054657354,0.03748858631439066,5,log_linear_nonneg,0.00013368467166796627,0.03748858631439066,0.5225354981241046,True
H4_reciprocal_remaining,Near-failure nonlinearity rises as inverse remaining life.,s15,0.4550840692793594,0.02234956114929287,0.03748858631439066,8,ridge,0.00013368467166796627,0.03748858631439066,0.45495038460769144,True
H0_settings_linear,Sensor output is primarily controlled by operating settings.,s15,0.00013368467166796627,0.030237501080093418,0.03748858631439066,3,linear,0.00013368467166796627,0.03748858631439066,0.0,False
H0_settings_linear,Sensor output is primarily controlled by operating settings.,s16,0.4375,1.0408340855860843e-17,1.3877787807814457e-17,3,linear,0.4375,1.3877787807814457e-17,0.0,False
H1_degradation_poly,Sensor output follows monotonic/polynomial degradation trajectory.,s16,0.4375,1.0408340855860843e-17,1.3877787807814457e-17,3,ridge,0.4375,1.3877787807814457e-17,0.0,False
H2_settings_plus_degr,Sensors depend on settings and degradation state additively.,s16,0.4375,1.0408340855860843e-17,1.3877787807814457e-17,5,ridge,0.4375,1.3877787807814457e-17,0.0,False
H3_interaction_settings_degr,Operating-condition effects are degradation-dependent (interaction terms).,s16,0.4375,1.0408340855860843e-17,1.3877787807814457e-17,11,ridge,0.4375,1.3877787807814457e-17,0.0,False
H4_reciprocal_remaining,Near-failure nonlinearity rises as inverse remaining life.,s16,0.4375,1.0408340855860843e-17,1.3877787807814457e-17,8,ridge,0.4375,1.3877787807814457e-17,0.0,False
H5_nonlinear_basis,"Mixed physics-inspired basis (sqrt, reciprocal, exponential degradation terms).",s16,0.4375,1.0408340855860843e-17,1.3877787807814457e-17,12,ridge,0.4375,1.3877787807814457e-17,0.0,False
H6_arrhenius_loglinear,Arrhenius-like exponential dependence linearized in log(sensor).,s16,-4.0625,3.122502256758253e-17,1.3877787807814457e-17,5,log_linear_nonneg,0.4375,1.3877787807814457e-17,-4.5,False
H5_nonlinear_basis,"Mixed physics-inspired basis (sqrt, reciprocal, exponential degradation terms).",s17,0.48621856310034683,0.9045696185445925,1.5584897510723095,12,ridge,-5.71659473489472e-05,1.5584897510723095,0.4862757290476958,True
H1_degradation_poly,Sensor output follows monotonic/polynomial degradation trajectory.,s17,0.4861540900493443,0.9043444152627308,1.5584897510723095,3,ridge,-5.71659473489472e-05,1.5584897510723095,0.48621125599669324,True
H2_settings_plus_degr,Sensors depend on settings and degradation state additively.,s17,0.4782272785629491,0.9135299664682085,1.5584897510723095,5,ridge,-5.71659473489472e-05,1.5584897510723095,0.47828444451029806,True
H3_interaction_settings_degr,Operating-condition effects are degradation-dependent (interaction terms).,s17,0.4779413961342459,0.9137916162019508,1.5584897510723095,11,ridge,-5.71659473489472e-05,1.5584897510723095,0.47799856208159486,True
H6_arrhenius_loglinear,Arrhenius-like exponential dependence linearized in log(sensor).,s17,0.46973263458170444,0.9084250355462643,1.5584897510723095,5,log_linear_nonneg,-5.71659473489472e-05,1.5584897510723095,0.4697898005290534,True
H4_reciprocal_remaining,Near-failure nonlinearity rises as inverse remaining life.,s17,0.41064493181162254,0.9615130050355156,1.5584897510723095,8,ridge,-5.71659473489472e-05,1.5584897510723095,0.4107020977589715,True
H0_settings_linear,Sensor output is primarily controlled by operating settings.,s17,-5.71659473489472e-05,1.239330879370298,1.5584897510723095,3,linear,-5.71659473489472e-05,1.5584897510723095,0.0,False
H0_settings_linear,Sensor output is primarily controlled by operating settings.,s18,1.0,0.0,0.0,3,linear,1.0,0.0,0.0,False
H1_degradation_poly,Sensor output follows monotonic/polynomial degradation trajectory.,s18,1.0,0.0,0.0,3,ridge,1.0,0.0,0.0,False
H2_settings_plus_degr,Sensors depend on settings and degradation state additively.,s18,1.0,0.0,0.0,5,ridge,1.0,0.0,0.0,False
H3_interaction_settings_degr,Operating-condition effects are degradation-dependent (interaction terms).,s18,1.0,0.0,0.0,11,ridge,1.0,0.0,0.0,False
H4_reciprocal_remaining,Near-failure nonlinearity rises as inverse remaining life.,s18,1.0,0.0,0.0,8,ridge,1.0,0.0,0.0,False
H5_nonlinear_basis,"Mixed physics-inspired basis (sqrt, reciprocal, exponential degradation terms).",s18,1.0,0.0,0.0,12,ridge,1.0,0.0,0.0,False
H6_arrhenius_loglinear,Arrhenius-like exponential dependence linearized in log(sensor).,s18,1.0,0.0,0.0,5,log_linear_nonneg,1.0,0.0,0.0,False
H0_settings_linear,Sensor output is primarily controlled by operating settings.,s19,1.0,0.0,0.0,3,linear,1.0,0.0,0.0,False
H1_degradation_poly,Sensor output follows monotonic/polynomial degradation trajectory.,s19,1.0,0.0,0.0,3,ridge,1.0,0.0,0.0,False
H2_settings_plus_degr,Sensors depend on settings and degradation state additively.,s19,1.0,0.0,0.0,5,ridge,1.0,0.0,0.0,False
H3_interaction_settings_degr,Operating-condition effects are degradation-dependent (interaction terms).,s19,1.0,0.0,0.0,11,ridge,1.0,0.0,0.0,False
H4_reciprocal_remaining,Near-failure nonlinearity rises as inverse remaining life.,s19,1.0,0.0,0.0,8,ridge,1.0,0.0,0.0,False
H5_nonlinear_basis,"Mixed physics-inspired basis (sqrt, reciprocal, exponential degradation terms).",s19,1.0,0.0,0.0,12,ridge,1.0,0.0,0.0,False
H6_arrhenius_loglinear,Arrhenius-like exponential dependence linearized in log(sensor).,s19,0.0,4.263256414560601e-14,0.0,5,log_linear_nonneg,1.0,0.0,-1.0,False
H1_degradation_poly,Sensor output follows monotonic/polynomial degradation trajectory.,s2,0.4633994664374186,0.2995049600866842,0.5076013411825356,3,ridge,-0.0011550281115291217,0.5076013411825356,0.4645544945489477,True
H5_nonlinear_basis,"Mixed physics-inspired basis (sqrt, reciprocal, exponential degradation terms).",s2,0.4630108281829305,0.29970430006728066,0.5076013411825356,12,ridge,-0.0011550281115291217,0.5076013411825356,0.4641658562944596,True
H2_settings_plus_degr,Sensors depend on settings and degradation state additively.,s2,0.45743267625612216,0.301559054027797,0.5076013411825356,5,ridge,-0.0011550281115291217,0.5076013411825356,0.4585877043676513,True
H3_interaction_settings_degr,Operating-condition effects are degradation-dependent (interaction terms).,s2,0.4573572504994873,0.30156069556172377,0.5076013411825356,11,ridge,-0.0011550281115291217,0.5076013411825356,0.4585122786110164,True
H6_arrhenius_loglinear,Arrhenius-like exponential dependence linearized in log(sensor).,s2,0.4456323995535061,0.30382139659519825,0.5076013411825356,5,log_linear_nonneg,-0.0011550281115291217,0.5076013411825356,0.4467874276650352,True
