hypothesis,model,equation,notes,sensor,r2,mae,y_test_std,n_train,n_test,n_features
H0_settings_linear,linear,y_s(t) = a0 + a1*u1(t) + a2*u2(t) + a3*u3(t),Settings-only baseline,s1,1.0,0.0,0.0,16561,4070,3
H0_settings_linear,linear,y_s(t) = a0 + a1*u1(t) + a2*u2(t) + a3*u3(t),Settings-only baseline,s2,-0.0011550281115344507,0.40932667398206324,0.5076013411825356,16561,4070,3
H0_settings_linear,linear,y_s(t) = a0 + a1*u1(t) + a2*u2(t) + a3*u3(t),Settings-only baseline,s3,-0.0006697196198728328,4.997355604011613,6.311951418470039,16561,4070,3
H0_settings_linear,linear,y_s(t) = a0 + a1*u1(t) + a2*u2(t) + a3*u3(t),Settings-only baseline,s4,-0.00017884123810740782,7.4071456816293075,9.138213151456167,16561,4070,3
H0_settings_linear,linear,y_s(t) = a0 + a1*u1(t) + a2*u2(t) + a3*u3(t),Settings-only baseline,s5,-1.25,5.329070518200751e-15,3.552713678800501e-15,16561,4070,3
H0_settings_linear,linear,y_s(t) = a0 + a1*u1(t) + a2*u2(t) + a3*u3(t),Settings-only baseline,s6,-0.0001247718137962206,0.0004068861196732909,0.0014863869847093817,16561,4070,3
H0_settings_linear,linear,y_s(t) = a0 + a1*u1(t) + a2*u2(t) + a3*u3(t),Settings-only baseline,s7,-0.00022438138915603645,0.7391263859048003,0.913951146013676,16561,4070,3
H0_settings_linear,linear,y_s(t) = a0 + a1*u1(t) + a2*u2(t) + a3*u3(t),Settings-only baseline,s8,-0.0006558133562433177,0.0582953169562111,0.07232391031537028,16561,4070,3
H0_settings_linear,linear,y_s(t) = a0 + a1*u1(t) + a2*u2(t) + a3*u3(t),Settings-only baseline,s9,-0.0015773348064875847,13.620383357599096,19.54794375085285,16561,4070,3
H0_settings_linear,linear,y_s(t) = a0 + a1*u1(t) + a2*u2(t) + a3*u3(t),Settings-only baseline,s10,0.0,2.220446049250313e-16,2.220446049250313e-16,16561,4070,3
H0_settings_linear,linear,y_s(t) = a0 + a1*u1(t) + a2*u2(t) + a3*u3(t),Settings-only baseline,s11,-0.0006924058747004302,0.21887447448694244,0.27244229555210625,16561,4070,3
H0_settings_linear,linear,y_s(t) = a0 + a1*u1(t) + a2*u2(t) + a3*u3(t),Settings-only baseline,s12,-0.00029599536111613034,0.6033221178562206,0.7477127943171277,16561,4070,3
H0_settings_linear,linear,y_s(t) = a0 + a1*u1(t) + a2*u2(t) + a3*u3(t),Settings-only baseline,s13,0.00031670115419757394,0.05865598065351557,0.07275639300131045,16561,4070,3
