coord,model,horizon,rmse,n,skill
h0,persistence,1,0.0007048925832046029,60,2.012580423538246e-06
h0,persistence,3,0.0014111070631616515,60,5.022036333457436e-07
h0,persistence,5,0.0023864531226422585,60,1.7558770726289197e-07
h0,persistence,10,0.004691165160796805,60,4.5440022078402365e-08
h0,persistence,15,0.007841436620111688,60,1.6263301705343736e-08
h0,persistence,20,0.011360254921465609,60,7.748610642011045e-09
h0,persistence,30,0.019956460318142563,59,2.5109205825657455e-09
h0,persistence,40,0.023440778026226253,49,1.8199353135628371e-09
h0,persistence,50,0.028387902641110123,43,1.2408902794192045e-09
h0,persistence,75,0.03987893644052058,27,6.288004561483262e-10
h0,persistence,100,0.051794473242132044,9,3.727632646999268e-10
h0,const_velocity,1,0.0005978179284175113,60,0.2807313782457006
h0,const_velocity,3,0.0009601193682363897,60,0.5370540256971936
h0,const_velocity,5,0.0013765719990444947,60,0.66726999193479
h0,const_velocity,10,0.002301164452104282,60,0.7593788230921654
h0,const_velocity,15,0.003697973171611679,60,0.777599257922974
h0,const_velocity,20,0.005406242792676496,60,0.7735277815132576
h0,const_velocity,30,0.010310797695988916,59,0.7330576343902445
h0,const_velocity,40,0.012364958139793636,49,0.7217461029761616
h0,const_velocity,50,0.01644268706498139,43,0.6645104723791178
h0,const_velocity,75,0.02934642111437523,27,0.45846920849267536
h0,const_velocity,100,0.04128424032000407,9,0.3646665028090985
h0,linear_recent,1,0.0014898608802775518,60,-3.4672954679439245
h0,linear_recent,3,0.0016234453235520526,60,-0.3235951999153164
h0,linear_recent,5,0.002201910832440572,60,0.14867857372092708
h0,linear_recent,10,0.0032832760907833846,60,0.5101610203065184
h0,linear_recent,15,0.005196817015964634,60,0.5607785206792187
h0,linear_recent,20,0.007464314956631871,60,0.5682784227133406
h0,linear_recent,30,0.01346478969990787,59,0.544768691807603
h0,linear_recent,40,0.01561677459169757,49,0.5561475328075974
h0,linear_recent,50,0.01974592136816962,43,0.516175126504818
h0,linear_recent,75,0.031762513648849584,27,0.36563006143008747
h0,linear_recent,100,0.04452498743104212,9,0.2610062425867219
h0,quadratic_recent,1,0.000914458769802137,60,-0.6829898717432492
h0,quadratic_recent,3,0.0012721067395016189,60,0.1873061795671822
