dataset,k,recon_mean_r2,recon_min_r2
FD001,1,0.8791871989446483,0.5721090016784147
FD001,2,0.9673996042764161,0.914069474676768
FD001,3,0.9750360109490952,0.9403282160635702
FD001,4,0.9725888223211466,0.9391526351487093
FD001,5,0.9728903506592335,0.9569832408427301
FD001,6,0.9752582839457343,0.9423690962139232
FD002,1,0.8078440668217186,0.5656422886828032
FD002,2,0.899319945595988,0.7469894689223276
FD002,3,0.9187197397332195,0.829547374153462
FD002,4,0.9176443312517744,0.7652311980813846
FD002,5,0.9368882282838551,0.8489211775472989
FD002,6,0.9384528359045688,0.8502741789285441
FD003,1,0.9472611187226078,0.8229885946860721
FD003,2,0.9798364241461097,0.9421215764156733
FD003,3,0.9817092796253484,0.9455969569087289
FD003,4,0.9822207610887222,0.9443195694744226
FD003,5,0.9835633257124354,0.9465401224298123
FD003,6,0.9839934155776607,0.9481515557080833
FD004,1,0.8759359439502127,0.752843349066953
FD004,2,0.9552493279003879,0.9159472719340629
FD004,3,0.9607441194663096,0.9391115689980081
FD004,4,0.9637877367967292,0.941930019937779
FD004,5,0.9617275343186918,0.9425297322380866
FD004,6,0.9633137216906582,0.94157515264232
