hypothesis,description,sensor,r2,mae,y_test_std,n_features,model_kind,baseline_r2,sensor_target_std,delta_r2_vs_settings,is_success
H5_nonlinear_basis,"Mixed physics-inspired basis (sqrt, reciprocal, exponential degradation terms).",s11,0.6221568232861063,0.13766664182370664,0.27244229555210625,12,ridge,-0.0006924058747008743,0.27244229555210625,0.6228492291608072,True
H1_degradation_poly,Sensor output follows monotonic/polynomial degradation trajectory.,s11,0.6220890593021373,0.13763608870562663,0.27244229555210625,3,ridge,-0.0006924058747008743,0.27244229555210625,0.6227814651768382,True
H3_interaction_settings_degr,Operating-condition effects are degradation-dependent (interaction terms).,s11,0.6100546664181489,0.14015032480311326,0.27244229555210625,11,ridge,-0.0006924058747008743,0.27244229555210625,0.6107470722928497,True
H2_settings_plus_degr,Sensors depend on settings and degradation state additively.,s11,0.6100361204708384,0.14015105988876095,0.27244229555210625,5,ridge,-0.0006924058747008743,0.27244229555210625,0.6107285263455393,True
H6_arrhenius_loglinear,Arrhenius-like exponential dependence linearized in log(sensor).,s11,0.6013604975521817,0.14205113037844505,0.27244229555210625,5,log_linear_nonneg,-0.0006924058747008743,0.27244229555210625,0.6020529034268826,True
H5_nonlinear_basis,"Mixed physics-inspired basis (sqrt, reciprocal, exponential degradation terms).",s4,0.5931215095461125,4.79487050138407,9.138213151456167,12,ridge,-0.00017884123810740782,9.138213151456167,0.5933003507842199,True
H1_degradation_poly,Sensor output follows monotonic/polynomial degradation trajectory.,s4,0.5924013290286054,4.801002288515245,9.138213151456167,3,ridge,-0.00017884123810740782,9.138213151456167,0.5925801702667128,True
H1_degradation_poly,Sensor output follows monotonic/polynomial degradation trajectory.,s12,0.586037240307139,0.39835808618885576,0.7477127943171277,3,ridge,-0.0002959953611139099,0.7477127943171277,0.5863332356682529,True
H5_nonlinear_basis,"Mixed physics-inspired basis (sqrt, reciprocal, exponential degradation terms).",s12,0.5859580886760469,0.3986024402188023,0.7477127943171277,12,ridge,-0.0002959953611139099,0.7477127943171277,0.5862540840371608,True
H2_settings_plus_degr,Sensors depend on settings and degradation state additively.,s4,0.5835614440462916,4.847394813020007,9.138213151456167,5,ridge,-0.00017884123810740782,9.138213151456167,0.583740285284399,True
H3_interaction_settings_degr,Operating-condition effects are degradation-dependent (interaction terms).,s4,0.5832480948210454,4.8495034839477125,9.138213151456167,11,ridge,-0.00017884123810740782,9.138213151456167,0.5834269360591529,True
