sensor,is_stationary,y_test_std,mapping,one_step_r2,one_step_mae,rollout_r2,rollout_mae
s1,True,0.0,constant_train_mean,1.0,0.0,1.0,0.0
s2,False,0.4999254933212134,H3_autoreg_targetlag_xgb,0.9975054984631327,0.012586548235833925,-0.7810774604849775,0.5451391973025155
s3,False,6.174749673081181,H3_autoreg_targetlag_xgb,0.9976419698620629,0.1598792554248915,-1.0290214243721496,7.182700263200503
s4,False,9.053037408833136,H3_autoreg_targetlag_xgb,0.9987321818435441,0.19624572433679674,-0.3753183518470349,8.620230169786613
s5,True,1.7765874602177623e-15,constant_train_mean,-3.0,3.552713678800501e-15,-3.0,3.552713678800501e-15
s6,False,0.0013818923911751667,H3_autoreg_targetlag_xgb,0.9988858717970134,3.191712770674683e-05,-45.74815400947328,0.00932626025749221
s7,False,0.8723024032035477,H3_autoreg_targetlag_xgb,0.9983213170493024,0.019307339359054668,-0.3375279366188706,0.8260305257759217
s8,False,0.0728586960426297,H3_autoreg_targetlag_xgb,0.9963789813501326,0.0028077017272575945,-3.2088941416937793,0.13141596695060287
s9,False,26.097538735378915,H3_autoreg_targetlag_xgb,0.997632191095234,0.4178372061090059,-1.1665285235317953,27.273537103226655
s10,True,0.0,constant_train_mean,1.0,0.0,1.0,0.0
s11,False,0.26643909896315715,H3_autoreg_targetlag_xgb,0.999414855147589,0.00399930727819584,-1.5003188920042905,0.36543441067962806
s12,False,0.7318638529486025,H3_autoreg_targetlag_xgb,0.9987518784564049,0.014549974919866562,-0.5739390582775452,0.7462554124670032
s13,False,0.07369180142552302,H3_autoreg_targetlag_xgb,0.9961963250202526,0.0028620454321740996,-3.219326478625179,0.13221970453093634
s14,False,22.701500469205747,H3_autoreg_targetlag_xgb,0.9979789882620059,0.34920370704354087,-2.7882082706255047,34.472910781332
s15,False,0.037562222435073116,H3_autoreg_targetlag_xgb,0.9981482621969456,0.0009332754261221059,-0.3353905839252864,0.0352981893613481
s16,True,1.3879589532951268e-17,constant_train_mean,0.75,6.938893903907228e-18,0.75,6.938893903907228e-18
s17,False,1.5495421815318866,H3_autoreg_targetlag_xgb,0.9995909333229065,0.010320969857275486,-4.686063766056605,3.4863631097367276
s18,True,0.0,constant_train_mean,1.0,0.0,1.0,0.0
s19,True,0.0,constant_train_mean,1.0,0.0,1.0,0.0
s20,False,0.18030446855710178,H3_autoreg_targetlag_xgb,0.9987661324454182,0.0035166121379775817,-1.1051131372211564,0.21880066282226307
s21,False,0.10757228742369628,H3_autoreg_targetlag_xgb,0.9975547446920445,0.002777665390222798,-1.2074135198203186,0.13499203357836628
