sensor,mapping,rollout_r2,rollout_mae
s1,constant_train_mean,1.0,0.0
s2,H3_autoreg_targetlag_xgb,-0.7810774604849775,0.5451391973025155
s3,H3_autoreg_targetlag_xgb,-1.0290214243721496,7.182700263200503
s4,H3_autoreg_targetlag_xgb,-0.3753183518470349,8.620230169786613
s5,constant_train_mean,-3.0,3.552713678800501e-15
s6,H3_autoreg_targetlag_xgb,-45.74815400947328,0.00932626025749221
s7,H3_autoreg_targetlag_xgb,-0.3375279366188706,0.8260305257759217
s8,H3_autoreg_targetlag_xgb,-3.2088941416937793,0.13141596695060287
s9,H3_autoreg_targetlag_xgb,-1.1665285235317953,27.273537103226655
s10,constant_train_mean,1.0,0.0
s11,H3_autoreg_targetlag_xgb,-1.5003188920042905,0.36543441067962806
s12,H3_autoreg_targetlag_xgb,-0.5739390582775452,0.7462554124670032
s13,H3_autoreg_targetlag_xgb,-3.219326478625179,0.13221970453093634
s14,H3_autoreg_targetlag_xgb,-2.7882082706255047,34.472910781332
s15,H3_autoreg_targetlag_xgb,-0.3353905839252864,0.0352981893613481
s16,constant_train_mean,0.75,6.938893903907228e-18
s17,H3_autoreg_targetlag_xgb,-4.686063766056605,3.4863631097367276
s18,constant_train_mean,1.0,0.0
s19,constant_train_mean,1.0,0.0
s20,H3_autoreg_targetlag_xgb,-1.1051131372211564,0.21880066282226307
s21,H3_autoreg_targetlag_xgb,-1.2074135198203186,0.13499203357836628
