name,target,law,desc,r2_physics,r2_physics_plus_h,delta
E_T30_euler,s3,HPC energy (Euler work),T30 = a + b*T24 + c*Nc^2,0.16236574949028926,0.16236574949031246,2.3203661214665772e-14
E_T30_polytropic,s3,isentropic + eta_HPC,T30 = a + b*T24 + c*[T24*((P30/P2)^0.2857-1)],0.8995476974846844,0.9173672472910305,0.017819549806346036
E_T50_energy,s4,turbine/combustor energy,T50 = a + b*T30 + c*phi,0.9584445029667753,0.9626358393740746,0.004191336407299295
E_phi_fuel,s12,thrust-hold fuel schedule,phi = a + b*(T50-T24) + c*T30,0.9491201770128472,0.9543014244418917,0.0051812474290444666
E_P30_static,s7,gas dynamics total/static,P30 = a + b*Ps30,0.9544683222893858,0.9566455088122059,0.0021771865228200626
E_htBleed,s17,bleed enthalpy ~ cp*T30,htBleed = a + b*T30,0.844212045444787,0.868065955678372,0.023853910233584963
E_W31_choked,s20,choked orifice flow,W31 = a + b*(Ps30/sqrt(T30)),0.9117320595547366,0.9313612103048928,0.019629150750156255
E_W32_choked,s21,choked orifice flow,W32 = a + b*(Ps30/sqrt(T30)),0.9031183984478032,0.9294246333342202,0.026306234886417035
E_BPR_split,s15,bypass flow split,BPR = a + b*(Nf/Nc),0.10684778751911816,0.8707599843860974,0.7639121968669792
E_NRf_identity,s13,corrected-speed similarity,NRf = Nf/sqrt(T2/T_ref),0.9511637148141273,0.9528375986773292,0.001673883863201886
E_NRc_identity,s14,corrected-speed similarity,NRc = Nc/sqrt(T24/T_ref),0.9884551537341061,0.9885194976998364,6.434396573029577e-05
