sensor,horizon,rmse,r2
PM2.5,1,14.51169037077473,0.9728140269630999
PM2.5,8,59.73153981798956,0.7377550696716775
PM2.5,24,79.86097342739245,-37.32573196860995
PM2.5,48,95.0485099504793,-0.2796911071753849
PM10,1,10.705276107485263,0.9812239197444539
PM10,8,52.5719719788951,0.7565976110730368
PM10,24,76.25565611188912,-131.42914329124568
PM10,48,103.60605541821606,-0.3184442774406522
SO2,1,2.2922453600592956,0.45012207389486714
SO2,8,2.0450713960754636,0.8148051416183976
SO2,24,5.9474771082976154,-37.882738138004825
SO2,48,22.455290204396885,0.14353121448234707
NO2,1,2.539215735612049,0.9880345793553292
NO2,8,17.75620420705672,0.6378025892358928
NO2,24,31.72533763443391,-8.18534602482222
NO2,48,27.7242892082117,-0.01825793709291168
CO,1,37.070389633448386,0.9936309372246769
CO,8,328.01897136861237,0.7722491804589262
CO,24,818.8547509722121,-52.941530782771416
CO,48,783.5289717182643,0.17433320451850598
O3,1,11.769277155191348,0.8314364979771764
O3,8,15.515263571694236,0.6653876079587433
O3,24,32.04075065552612,-3.769382998396704
O3,48,18.45655060938821,0.7952542944259713
TEMP,1,0.39550507771240884,0.9979141789033735
TEMP,8,2.589299228326033,0.8599805716296701
TEMP,24,4.071041946896222,0.6101348609063532
TEMP,48,3.069102254353563,0.879932476593264
PRES,1,0.6007717465094843,0.9951056500710135
PRES,8,8.836091080002648,-47.62055345848145
PRES,24,4.794254280803658,0.004540821242037141
PRES,48,3.502727890170291,0.35313473321121036
DEWP,1,0.27923427707663956,0.9990695576534155
DEWP,8,5.006969474263005,0.803141565820418
DEWP,24,13.18674998532075,0.19584835406333934
DEWP,48,6.8783659161845945,0.3330922696950054
RAIN,1,0.0007063515773085291,-5987189.609194963
RAIN,8,0.004099002081547895,-201621815.77440774
RAIN,24,0.006348459897154603,-483635315.78936285
RAIN,48,0.005688631760804247,-388326374.72036994
WSPM,1,0.06085890871746373,0.9940174069700614
WSPM,8,0.25266168653273635,0.8899741300678398
WSPM,24,1.3525884498460865,-1.4865252942266585
WSPM,48,1.002409532873608,-0.46883343227217456
