model,skill_h1,nrmse_h1,skill_h10,nrmse_h10,skill_h30,nrmse_h30,skill_h60,nrmse_h60,freerun_growth,bounded
persistence,0.0,0.012237578630447388,0.0,0.07368125021457672,0.0,0.10589662939310074,0.0,0.17420464754104614,1.0,True
cv,-610.7777057196456,0.30268598724907547,-15.839370471553167,0.30235690443099794,-9.056144906794259,0.3358133043398528,-4.233540231101779,0.3985267806245427,1.2711395546750253,True
cv_damped,-610.7777057196456,0.30268598724907547,-15.18820105520715,0.2964532796665298,-7.890795693139272,0.3157566108582184,-2.804527450012964,0.33978960480371434,1.0000000621383307,True
holt,-602.6341571426842,0.3006646681115215,-15.060818699989255,0.29528460446433563,-7.903850370574571,0.31598834425967526,-2.8515242377693593,0.3418818497214344,1.0020271612215197,True
trend_lw,-610.4188301749266,0.30259719475745533,-15.208417250654563,0.2966383307259947,-7.860358855919198,0.31521566535172174,-2.772680198825397,0.3383644466976106,1.0022648946430914,True
cvd_anch,0.047648105241738015,0.011942471616020888,0.0058936614319636815,0.07346379949073262,0.044723897955563974,0.10350148795807967,0.035854023933528656,0.17105316876103718,0.9999999940046504,True
holt_anch,-0.8748258765055619,0.016756216466580237,-0.08738622303344967,0.07683319226653693,-0.07513117026284566,0.10980266054384352,-0.05060826846537303,0.17855833787629263,1.0018070763594293,True
var_sensor,-29.843339920043945,0.06796357035636902,-7.439499855041504,0.2140500396490097,-6.721013069152832,0.2942518889904022,-3.6469364166259766,0.3755286633968353,0.922615647315979,True
mlp_noctx,-550.9686125991155,0.2874733722892655,-7.272251237383201,0.21099787360547487,-7.170205750410427,0.30219581198961304,-5.695135377354025,0.45053369436782614,0.5845570982681073,True
mlp_ctx,-610.746399338878,0.30264047285639656,-19.404126606959412,0.3307174515029059,-17.760292855887993,0.45638737606811236,-12.854979341952705,0.6470570418983641,0.6343446862732411,True
