sensor,horizon,rmse,r2
s2,1,0.11622716426487972,0.9160218147098043
s2,10,0.2073078447843738,0.7711741533825562
s2,25,0.30329296051668475,0.49816393064063025
s2,50,0.5008703432901336,0.13084523500594636
s3,1,0.09522665509700136,0.9433862579292929
s3,10,0.20753584748722229,0.747897331566847
s3,25,0.27582381942808604,0.639300890843106
s3,50,0.49030081335911124,0.2294703530769392
s4,1,0.08405060512888761,0.9680091923280035
s4,10,0.19102156220467534,0.8272394222160315
s4,25,0.26515397304347005,0.675141497360227
s4,50,0.5568465742879799,0.23517856278472316
s6,1,0.19023272737701014,0.7596198959995029
s6,10,0.36225050325856534,0.21780044733074977
s6,25,0.36238503317133636,0.2913638856687706
s6,50,0.4342071697817252,-0.43102634761100833
s7,1,0.11276353486212157,0.9198975302326431
s7,10,0.22194972031009558,0.7092823301713387
s7,25,0.2720443847992895,0.5892661372859358
s7,50,0.48886102654327424,0.15495498956649123
s8,1,0.21744713456500947,0.8515115504732261
s8,10,0.3179205041098587,0.7435799600270865
s8,25,0.4042567076937803,0.7833726319694593
s8,50,0.7522494697504639,0.6828098276164092
s9,1,0.035368204184018585,0.9965308740523929
s9,10,0.11652766915430572,0.9694650666225494
s9,25,0.22848618611581298,0.922052566845446
s9,50,0.6154493542921877,0.7771141731556561
s10,1,0.035003877720217805,0.4909865054974607
s10,10,0.10687595444100668,-0.010015998574002705
s10,25,0.05671242307154792,0.03610583050081828
s10,50,0.060977471537201976,0.04863726011054592
s11,1,0.06728354944545323,0.9808333301032957
s11,10,0.15318291489382915,0.9113477267577248
s11,25,0.27151546530043,0.7161978094590828
s11,50,0.5886432745497523,0.2240001452062902
s12,1,0.10343610341496091,0.9427627404650779
s12,10,0.20891806684451933,0.7656856790754683
s12,25,0.24467564031990724,0.6804386068355726
s12,50,0.4961807659800227,0.29500086097565525
s13,1,0.24452252368490895,0.807005277548335
s13,10,0.3114352910948997,0.7478772569759
s13,25,0.4105518679449332,0.7813552393868116
s13,50,0.7693005277876365,0.6756481290531366
s14,1,0.031138831219555088,0.9977454185597735
s14,10,0.11536936689831237,0.97259463443535
s14,25,0.23817074195108345,0.9269773372001495
s14,50,0.6418082993556665,0.7865437162836201
s15,1,0.07469987854726616,0.9755003602557213
s15,10,0.1824912573112964,0.8531869470603418
s15,25,0.24772978793319958,0.7602596449871981
s15,50,0.5831995039269887,0.14120775328337465
s17,1,0.11400567987674275,0.9227115231421871
s17,10,0.24460239004759185,0.6473800838623378
s17,25,0.29956277877189436,0.5474374828260673
s17,50,0.5056137035150002,0.14729427281283736
s20,1,0.1222590018791951,0.9043726011768469
s20,10,0.2387163186705443,0.6308769465945978
s20,25,0.2834967707859818,0.5337727234612031
s20,50,0.44764343640600823,0.0006630590929487257
s21,1,0.11817073653668086,0.9059604408921468
s21,10,0.23323767707800497,0.6513260668497092
s21,25,0.28799278221004715,0.4318202025685164
s21,50,0.41852130923288317,0.29492271986640106
