sensor,horizon,rmse,r2
rms,1,0.0001359384241202802,0.999990578768542
rms,10,0.0005090216575424913,0.999869690800369
rms,25,0.000501177522575749,0.9998724262852198
rms,50,0.0010324672244672872,0.9994579891935932
peak,1,0.007367344528726071,0.9986668352673331
peak,10,0.03479862723949841,0.966521930296711
peak,25,0.029379697136475574,0.9800821114209076
peak,50,0.03149779550753494,0.9753178220120845
p2p,1,0.011138022996929692,0.998644319961695
p2p,10,0.03680956886018488,0.9838440991023139
p2p,25,0.03296884134050392,0.9883124840617097
p2p,50,0.0678359994479779,0.9549992818701877
std,1,0.00015951889812467252,0.9999351424422322
std,10,0.0007618494778298016,0.9985868954251809
std,25,0.0006051002190773134,0.999074435978173
std,50,0.0012402177921468007,0.9961277391467002
kurtosis,1,0.009617809412943053,0.9994780915212558
kurtosis,10,0.034131294171413896,0.9931976939117285
kurtosis,25,0.04581926814820265,0.9891236778141094
kurtosis,50,0.07793996450326919,0.9660554537203977
skew,1,0.006095008508448061,0.9879368012206015
skew,10,0.008806758743738461,0.9713456840113167
skew,25,0.01292119225598365,0.9346801606046906
skew,50,0.016284199449110616,0.9183944501289278
crest,1,0.09477426241006032,0.9147712728409352
crest,10,0.24707830425051186,0.4302346977488911
crest,25,0.21381222691212437,0.07999219661949986
crest,50,0.2498145285434926,-0.4294263864366088
shape,1,0.00044129879343965443,0.9998292004603482
shape,10,0.0016279527807991183,0.9976166831231142
shape,25,0.0013344305506826982,0.9983959314042146
shape,50,0.0022948862756800342,0.9953506579761611
impulse,1,0.11209473994605892,0.9435767187148987
impulse,10,0.3007464649155562,0.6446142349980948
impulse,25,0.26833968385347234,0.32911000859025963
impulse,50,0.31190027806790044,0.2746157678380352
clearance,1,0.12578409707092347,0.9611128311452828
clearance,10,0.3475577852981523,0.7458916301779759
clearance,25,0.3180315358829922,0.5383408716832778
clearance,50,0.3667744122883064,0.5310324537190879
band0,1,0.0016347315684736323,0.999908804359198
band0,10,0.015720777424099115,0.991773936251338
band0,25,0.009403451655365635,0.9969032341770298
band0,50,0.01845367842145797,0.988841570590331
band1,1,0.0012080289778757143,0.9999265441902072
band1,10,0.00894378970531092,0.9959649912090951
band1,25,0.00744942960758955,0.997150796088866
band1,50,0.014510985276587429,0.9895957005735241
band2,1,0.0007234639740169736,0.9998755237014962
band2,10,0.003380305106574682,0.9972301203082842
band2,25,0.004598133312643989,0.9947033532185027
band2,50,0.004398740415616071,0.9952846213549773
band3,1,0.00043996559364575116,0.9998377310676965
band3,10,0.002079568951646986,0.9964973547781896
band3,25,0.0023166596860743393,0.9957223497155453
band3,50,0.003958045027239546,0.9874652261665208
